groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min,Frequence moyenne (meulage/an),tiefe/jahr,,,,,,,
15,0.047890999,0.0504274551052632,0.612692895934076,0.00119957577715502,0.0262445,0.0266632213467492,0.61652177037891,0.417102761048032,0.07951,0.0804785789489164,0.186344919284316,-0.271431757272329,0.063365,0.0634047585185758,0.182175819124147,0.113392050401055,0.0270229995,0.0348537569829721,2.05713518697302,3.64241108911178,0.039766,0.0419487198188855,1.92624396635926,4.78103993374119,93387.191,93548.691,197,161.5,0.07951,0.063365,Median_30_300_r,Median_30_300_l,0.07951,0.000490000000000004,0.016635,0.000490000000000004,0.14,0.0112,0.0437500000000004,161.5,93387.191,93548.691,,,
23,0.078775,0.0797320052433863,0.264871699198371,-0.170685657440436,0.021908999,0.0254670158888889,1.11680932155384,0.322645719846585,0.070228,0.0733590475925926,0.494528903371325,-0.408489665547025,0.033272999,0.0374116984338624,1.24119157388018,0.766692116799253,0.027927,0.0368688095238095,2.28141855973514,4.17157522257742,0.027563,0.0317448942010582,2.12913118263802,3.62441677588958,94874.441,94921.691,250,47.25,0.078775,0.033272999,Median_30_300_r,Median_10_100_l,0.078775,0.001225,0.046727001,0.001225,0.14,0.0112,0.109375,47.25,94874.441,94921.691,,,
22,0.0555710005,0.0567605063987342,0.498053413342456,-0.377139241198265,0.027041001,0.0323731720318471,5.55872516348127,41.6343256148954,0.0753809995,0.0765060885949367,0.713173005684694,0.675612995658504,0.0515255,0.0529059638913044,0.544250102408886,-0.0335735487167224,0.0310469995,0.0314065823417722,0.425016545660417,-0.211884617850698,0.030222001,0.035461448682243,0.831252147245145,-0.516009408118075,94834.941,94874.441,170,39.5,0.0753809995,0.0515255,Median_30_300_r,Median_30_300_l,0.0753809995,0.00461900050000001,0.0284745,0.00461900050000001,0.14,0.0112,0.412410758928572,39.5,94834.941,94874.441,,,
14,0.0430385,0.0469296370034247,1.24169364155326,1.93169578434186,0.0278025,0.0302877003253425,1.17421864294911,1.131082369599,0.0734779995,0.077214306510274,0.736467245509761,0.443999475857974,0.0563395,0.0585533955462329,0.758065834648754,0.532434860432867,0.042479,0.0430191181523973,0.944676366510607,1.33626288310545,0.0292505,0.035095409234589,1.18231200099446,0.397086714191655,93196.441,93342.441,217,146,0.0734779995,0.0563395,Median_30_300_r,Median_30_300_l,0.0734779995,0.0065220005,0.0236605,0.0065220005,0.14,0.0112,0.582321473214286,146,93196.441,93342.441,,,
10,0.0631565,0.0674560000930233,0.591995869816996,-0.0594542533500047,0.0275185005,0.0294961511046512,0.466060408082807,-0.864761821499289,0.0713320005,0.0734190116860465,1.09803295263583,1.64999132922875,0.047725501,0.0485961394651163,1.14841387641168,1.83950883874919,0.031623,0.0404628374625,1.72243597005106,1.77214673916189,0.031849,0.039719737525,1.91894116795976,2.35355976321726,92920.941,92942.441,204,21.5,0.0713320005,0.047725501,Median_30_300_r,Median_30_300_l,0.0713320005,0.0086679995,0.032274499,0.0086679995,0.14,0.0112,0.773928526785714,21.5,92920.941,92942.441,,,
19,0.0367469995,0.0398512573492647,0.882055119203672,0.372011971671858,0.0185955,0.0201363125147059,1.08292499505767,1.14949386136743,0.061551,0.0656942205661765,0.926011181912839,0.978733698681064,0.049043,0.0504028234779412,0.680670053744461,0.888252100665265,0.0293509995,0.0361941911838235,1.07298198000965,0.0220320329949111,0.0288789995,0.0370565661764706,1.39252960787242,0.895987361662254,94412.691,94480.691,190,68,0.061551,0.049043,Median_30_300_r,Median_30_300_l,0.061551,0.018449,0.030957,0.018449,0.14,0.0112,1.64723214285714,0,,,,,
7,0.034908,0.0367903203160173,0.729619443843158,0.00602939507835609,0.036008,0.0373168571428571,0.91416273098125,1.16572221502761,0.06099,0.0653721947575758,0.51885637386808,-0.286884954594141,0.052193,0.0541488354978355,0.431194302700522,-0.094587636333638,0.029918,0.0288010778831169,-0.252740415751825,-0.571436021402995,0.02689,0.0282075151385281,1.01944123202946,1.24553005113561,92521.441,92579.191,192,57.75,0.06099,0.052193,Median_30_300_r,Median_30_300_l,0.06099,0.01901,0.027807,0.01901,0.14,0.0112,1.69732142857143,0,,,,,
8,0.0371435,0.038545517986,0.686878402582724,0.55263574561891,0.031328,0.032926038016,0.744002647910846,0.52420196170222,0.0604065005,0.063014118006,0.676517676026527,0.81026007311718,0.051009,0.053037547974,0.838987119409705,0.859617174691251,0.0296369995,0.02987371199,-0.317698085284615,0.160448668767073,0.0242995005,0.02561176398,1.62205333341404,4.75454629033295,92633.441,92758.441,146,125,0.0604065005,0.051009,Median_30_300_r,Median_30_300_l,0.0604065005,0.0195934995,0.028991,0.0195934995,0.14,0.0112,1.74941959821429,0,,,,,
18,0.037020999,0.0387987149195402,0.842505473122479,0.757753400642129,0.022871,0.0239723172321839,2.04971252935278,7.86148450636978,0.060081001,0.0622808528252874,0.780947244824593,1.02283580270726,0.047826999,0.0507379494229885,1.26311561898808,2.22720203974026,0.027704,0.0358015769931034,1.26200101083095,0.682176611383952,0.036187,0.0405152068942529,1.05610141945456,0.435295266444749,94231.941,94340.691,230,108.75,0.060081001,0.047826999,Median_30_300_r,Median_30_300_l,0.060081001,0.019918999,0.032173001,0.019918999,0.14,0.0112,1.77848205357143,0,,,,,
6,0.0326679995,0.0367237947425373,0.902279349526069,0.532922383253912,0.0406779995,0.0420198544365672,1.09101719289781,1.90079367798697,0.0598884995,0.0616376343097015,0.42124087190908,-0.0540529483883296,0.0523135,0.0527196231044776,0.241825708005681,0.00355370506109853,0.021968,0.0249577836156716,1.16684721334877,0.971149285955284,0.028186001,0.0308267276604478,0.721226487709981,-0.188785756800966,92355.691,92422.691,288,67,0.0598884995,0.0523135,Median_30_300_r,Median_30_300_l,0.0598884995,0.0201115005,0.0276865,0.0201115005,0.14,0.0112,1.7956696875,0,,,,,
