km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe,element_standard,frequence,reserve_usure_min,annee
93.196441,93.26063,Acier (bêches longues),46 E1,R 350 HT,217.0,21,31342211,0.075,0.0065220005,1.0870000833333333
93.26063,93.342441,Acier (bêches longues),46 E1,R 260,217.0,21,31342111,0.1,0.0065220005,0.8152500625
93.387191,93.548691,Acier (bêches longues),46 E1,R 260,197.0,22,31342111,0.1,0.0004900000000000043,0.06125000000000054
93.912191,93.957191,Acier (bêches longues),46 E1,R 350 HT,395.0,23,31242211,0.0,0.029686000000000004,inf
94.055691,94.176941,Acier (bêches longues),46 E1,R 350 HT,105.0,24,31442211,0.1,-0.00014799999999999536,0.0
94.231941,94.340691,Acier (bêches longues),46 E1,R 350 HT,230.0,25,31342211,0.075,0.019918999000000007,3.3198331666666676
94.412691,94.44444,Acier (bêches longues),46 E1,R 350 HT,190.0,26,31342211,0.075,0.018449000000000007,3.0748333333333346
94.44444,94.480691,Acier (bêches longues),46 E1,R 260,190.0,26,31342111,0.1,0.018449000000000007,2.3061250000000006
94.523691,94.584941,Acier (bêches longues),46 E1,R 260,143.0,27,31342111,0.1,-0.0048819999999999975,0.0
94.632941,94.701191,Acier (bêches longues),46 E1,R 260,163.0,28,31342111,0.1,0.033917999000000004,4.239749875
94.834941,94.874441,Acier (bêches longues),46 E1,R 350 HT,170.0,29,31342211,0.075,0.004619000500000012,0.7698334166666686
94.874441,94.921691,Acier (bêches longues),46 E1,R 350 HT,250.0,30,31342211,0.075,0.0012250000000000039,0.2041666666666673
95.031691,95.145191,Acier (bêches longues),46 E1,R 350 HT,170.0,31,31342211,0.075,-0.026580499999999993,0.0
95.231441,95.324941,Acier (bêches longues),46 E1,R 350 HT,300.0,32,31342211,0.075,0.028404000000000006,4.734000000000001
95.383191,95.42738,Acier (bêches longues),46 E1,R 350 HT,257.0,33,31342211,0.075,0.024904998999999997,4.150833166666666
95.42738,95.467441,Acier (bêches longues),46 E1,R 260,257.0,33,31342111,0.1,0.024904998999999997,3.1131248749999996
95.534191,95.628191,Acier (bêches longues),46 E1,R 260,412.0,34,31242111,0.0,0.039169001,inf
95.674691,95.73335,Acier (bêches longues),46 E1,R 260,175.0,35,31342111,0.1,0.0256450005,3.2056250625000002
95.73335,95.736191,Bois,46 E1,R 260,175.0,35,31332111,0.133,0.0256450005,2.4102444078947367
95.874191,96.04335,Acier (bêches longues),46 E1,R 260,383.0,36,31242111,0.0,0.038805000500000006,inf
96.04335,96.058691,Béton,54 E2,R 350 HT,383.0,36,31211211,0.15,0.038805000500000006,3.233750041666667
96.222941,96.298441,Béton,54 E2,R 350 HT,180.0,37,31311211,0.15,-0.025587,0.0
96.32131,96.32335,Béton,54 E2,R 350 HT,350.0,38,31211211,0.15,-0.008953000000000003,0.0
96.42106,96.44335,Béton,54 E2,R 350 HT,130.0,1,31311211,0.15,-0.030299000000000006,0.0
96.32335,96.34631,Béton,54 E2,R 350 HT,350.0,38,31211211,0.15,-0.008953000000000003,0.0
96.40906,96.44335,Béton,54 E2,R 350 HT,135.0,39,31311211,0.15,0.021408499999999997,1.7840416666666663
