,groupe,groupe.1,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min,traverse,acier,profil_rail,trav_list,acier_list,rail_list,coord1,left
20,21,21,0.024502,0.0279580402967032,1.3330152428692343,1.237557229250406,0.02547,0.0286410366190476,1.135284177029618,1.0571151207181124,0.046082001,0.0502544066080586,1.0870064877015408,1.1790950439713468,0.044305,0.0447186116996337,0.3289876838959423,-0.3162592411295413,0.025311001,0.0299604176336996,1.0621330652309833,0.1183560923936548,0.029731,0.0322571539010989,0.971754189877274,0.7718454801893864,94.632941,94.70119100000001,163.0,68.25,0.046082001,0.044305,Median_30_300_r,Median_30_300_l,0.046082001,0.033917999,0.035695,0.033917999,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(94.44444, 94.75202, closed='both')]",[94.44444]
21,22,22,0.0555710004999999,0.0567605063987341,0.4980534133424561,-0.3771392411982655,0.027041001,0.0323731720318471,5.558725163481266,41.634325614895374,0.0753809994999999,0.0765060885949367,0.7131730056846941,0.6756129956585042,0.0515255,0.0529059638913043,0.5442501024088865,-0.0335735487167223,0.0310469995,0.0314065823417721,0.4250165456604168,-0.2118846178506981,0.030222001,0.0354614486822429,0.8312521472451445,-0.5160094081180748,94.834941,94.874441,170.0,39.5,0.0753809994999999,0.0515255,Median_30_300_r,Median_30_300_l,0.0753809994999999,0.0046190005,0.0284745,0.0046190005,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(94.77202, 95.42738, closed='both')]",[94.77202]
22,23,23,0.078775,0.0797320052433862,0.2648716991983706,-0.170685657440436,0.021908999,0.0254670158888888,1.1168093215538415,0.3226457198465851,0.070228,0.0733590475925926,0.4945289033713254,-0.4084896655470249,0.033272999,0.0374116984338624,1.2411915738801762,0.7666921167992533,0.027927,0.0368688095238095,2.281418559735142,4.171575222577417,0.027563,0.0317448942010582,2.129131182638023,3.62441677588958,94.874441,94.92169100000001,250.0,47.25,0.078775,0.033272999,Median_30_300_r,Median_10_100_l,0.078775,0.001225,0.046727001,0.001225,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(94.77202, 95.42738, closed='both')]",[94.77202]
23,24,24,0.054188,0.057928729030837,0.9060215672498578,1.099516261695638,0.0310565005,0.0335472643039647,1.434015009991083,2.7885055585076666,0.1065805,0.1148562642687224,0.6027593641488669,-0.0160666723465054,0.0776855,0.0859920485704845,1.1838468319569178,1.1497284489752877,0.0321565,0.0355927687290748,1.4796984663997417,1.8928714420022512,0.03218,0.0357979404867841,2.353045076911368,6.779376315494719,95.03169100000001,95.14519100000001,170.0,113.5,0.1065805,0.0776855,Median_30_300_r,Median_30_300_l,0.1065805,-0.0265804999999999,0.0023144999999999,-0.0265804999999999,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(94.77202, 95.42738, closed='both')]",[94.77202]
24,25,25,0.0291150005,0.0322973743449197,0.9593146791938838,0.3280095164609955,0.017099,0.0192079839652406,1.938108369595119,7.023686010062498,0.0515959999999999,0.054421604262032,0.5197250038634457,-0.4908954117700363,0.042001,0.0443343422807486,0.971245845150614,1.057099144587224,0.0270295004999999,0.0307064251256684,3.133313800968295,11.071227725377131,0.0283465005,0.0310652005240641,1.4412134145141182,1.8359427668900343,95.231441,95.32494100000001,300.0,93.5,0.0515959999999999,0.042001,Median_30_300_r,Median_30_300_l,0.0515959999999999,0.028404,0.037999,0.028404,Acier (bêches longues),R 350 HT,46 E1,['Acier (bêches longues)'],['R 350 HT'],['46 E1'],"[Interval(94.77202, 95.42738, closed='both')]",[94.77202]
25,26,26,0.0348119999999999,0.0373105311454005,0.90872861834454,0.4921779447487022,0.027053,0.0296015667537092,2.066686845134169,5.806676358524639,0.055095001,0.0591992640623145,0.6441931930699942,-0.097115967768913,0.047689,0.0484583501157269,0.3430365287072448,-0.3153114607522043,0.027163999,0.032330694388724,1.7883233394951985,2.52933187861489,0.034841,0.0415757181097922,1.4826695674257535,1.97970568785275,95.38319100000001,95.46744100000001,257.0,84.25,0.055095001,0.047689,Median_30_300_r,Median_30_300_l,0.055095001,0.0249049989999999,0.032311,0.0249049989999999,Acier (bêches longues),R 350 HT,46 E1,"['Acier (bêches longues)', 'Acier (bêches longues)']","['R 350 HT', 'R 260']","['46 E1', '46 E1']","[Interval(94.77202, 95.42738, closed='both'), Interval(95.42738, 95.51335, closed='both')]","[94.77202, 95.42738]"
26,27,27,0.037703999,0.0412666223085106,1.0244969456189654,0.9110426617942232,0.0219955,0.0246124095771276,0.9271302766330268,0.2308267012539047,0.040830999,0.0439146568803191,1.0691023331465956,1.4037570864779747,0.0297520005,0.031425430875,0.9277605436644448,1.1667977239062042,0.0225555005,0.025095944125,1.166180185195924,1.1012068754644142,0.0250525,0.0290675531941489,2.062400732332285,3.5731478281258227,95.534191,95.628191,412.0,94.0,0.040830999,0.0297520005,Median_30_300_r,Median_30_300_l,0.040830999,0.039169001,0.0502479995,0.039169001,Acier (bêches longues),R 260,46 E1,['Acier (bêches longues)'],['R 260'],['46 E1'],"[Interval(95.52335, 95.73335, closed='both')]",[95.52335]
27,28,28,0.0533489994999999,0.0545622195121951,0.5832000319857562,0.1388423344276859,0.0268360009999999,0.0282555428693877,0.6812092875529905,0.2054096677891346,0.0543549995,0.0569247276138211,0.7710709755409304,0.3801041119612862,0.0365014995,0.0372172833791666,0.7990395097094634,1.285498105011755,0.0224994995,0.0264112723414634,0.9877848091387478,-0.2339581626446305,0.0286110009999999,0.030955769858407,0.9882814481795452,2.0812422080577564,95.67469100000001,95.736191,175.0,61.5,0.0543549995,0.0365014995,Median_30_300_r,Median_30_300_l,0.0543549995,0.0256450005,0.0434985005,0.0256450005,Acier (bêches longues),R 260,46 E1,"['Acier (bêches longues)', 'Bois']","['R 260', 'R 260']","['46 E1', '46 E1']","[Interval(95.52335, 95.73335, closed='both'), Interval(95.73335, 95.74335, closed='both')]","[95.52335, 95.73335]"
28,29,29,0.036692501,0.0407563793766937,1.0777869091009695,0.8219920236233689,0.0204799999999999,0.0236910081273712,0.9430724785096976,0.24514461233399,0.0411949994999999,0.0453634322140921,1.0300760749501665,0.634479905709894,0.030093,0.0322341192696477,0.5881531731895818,-0.5518640062430138,0.024891,0.0309831232994579,2.0474623535803613,4.592128182435983,0.0236289994999999,0.032650264203252,1.8727566467660977,3.072231945363716,95.87419100000001,96.05869100000001,383.0,184.5,0.0411949994999999,0.030093,Median_30_300_r,Median_30_300_l,0.0411949994999999,0.0388050005,0.049907,0.0388050005,Acier (bêches longues),R 260,46 E1,"['Acier (bêches longues)', 'Béton']","['R 260', 'R 350 HT']","['46 E1', '54 E2']","[Interval(95.74335, 96.04335, closed='both'), Interval(96.04335, 96.32335, closed='both')]","[95.74335, 96.04335]"
29,30,30,0.053181,0.0572680331490066,0.7249412219590933,-0.1180743694338732,0.0305355005,0.0315583907251655,1.1099527841705372,3.0573513783857127,0.105587,0.1258462384735099,0.7901414032082098,-0.2694152945320742,0.0839004995,0.1005159964569536,1.0026654589220338,0.2593192797683468,0.0239715,0.0301024138741721,1.6373949704971071,1.8559001689130232,0.0187760005,0.0245297483145695,2.5162455275674613,6.085304070898388,96.222941,96.29844100000001,180.0,75.5,0.105587,0.0839004995,Median_30_300_r,Median_30_300_l,0.105587,-0.025587,-0.0039004995,-0.025587,Béton,R 350 HT,54 E2,['Béton'],['R 350 HT'],['54 E2'],"[Interval(96.04335, 96.32335, closed='both')]",[96.04335]
30,31,31,0.0441609995,0.0788478120833333,2.758659622636636,7.468236573367111,0.0147435,0.01713729998,1.8528497089696017,3.728861418725345,0.0739685005,0.1313961697446808,2.078780038558916,3.258740587151961,0.0390339995,0.04670489996,1.129036264051121,0.6081115550092364,0.088953,0.0948829656704545,0.6376260673782853,-0.5740389139096229,0.056218,0.05373406999,0.0478437763993873,-0.8284304650090291,96.32131,96.34631,350.0,25.0,0.088953,0.056218,Median_300_1000_r,Median_300_1000_l,0.088953,-0.008953,0.0237819999999999,-0.008953,Béton,R 350 HT,54 E2,"['Béton', 'Béton', 'Béton']","['R 350 HT', 'R 350 HT', 'R 350 HT']","['54 E2', '54 E2', '54 E2']","[Interval(96.04335, 96.32335, closed='both'), Interval(96.32335, 96.44335, closed='both'), Interval(96.32335, 96.44335, closed='both')]","[96.04335, 96.32335, 96.32335]"
