groupe,Linie,groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min
32,Palezieux - Chatel-St-Denis,32,0.066936,0.07067408203381643,1.0471247920915918,2.307341604508128,0.035157999999999995,0.037251062748792266,1.0558989029431325,2.124310142409465,0.098324,0.10290298542512077,0.8396566094541089,1.04322950097548,0.070839,0.07382333811594204,0.3899525332358915,-0.6198985713404781,0.027783999,0.03523786468599034,1.8429301437363257,2.7977515169162226,0.029771,0.032036734285024154,0.7299467384551345,-0.1259466973303005,92942.441,92994.191,90.0,51.75,0.098324,0.070839,Median_30_300_r,Median_30_300_l,0.098324,-0.018323999999999993,0.009161000000000002,-0.018323999999999993
33,Palezieux - Chatel-St-Denis,33,0.08224849949999999,0.08366566129677419,0.3746151517521092,0.23967054583477854,0.0283505,0.02946623542580645,0.430605146544625,-0.8333905709842737,0.070848,0.07264931289677419,0.4210198396640721,-0.07082709803884013,0.0342914995,0.03404969350967742,0.4487528460559975,-0.46662400871698084,0.027158501,0.02891107091935484,1.07160032952778,0.8530392703044085,0.033947,0.03931841932580645,1.2085229578461865,0.5953422301332929,92994.191,93071.691,250.0,77.5,0.08224849949999999,0.0342914995,Median_30_300_r,Median_10_100_l,0.08224849949999999,-0.002248499499999987,0.0457085005,-0.002248499499999987
34,Palezieux - Chatel-St-Denis,34,0.052026000999999995,0.054409290780876494,0.6579755635077983,0.3477424942369929,0.025300999999999997,0.027724741047808765,1.1889993899900686,1.3485022365484944,0.045937,0.04697307166135459,0.8788282492244043,1.4199289903404377,0.027749,0.028836067741035854,0.640437525467361,-0.24992721595706913,0.024478,0.02756094421513944,1.6785409177346258,2.896123864943526,0.02282,0.02523460558565737,1.291302413315518,1.2248241575975785,93071.691,93134.441,0.0,62.75,0.052026000999999995,0.027749,Median_30_300_r,Median_10_100_l,0.052026000999999995,0.027973999000000006,0.052251000000000006,0.027973999000000006
35,Palezieux - Chatel-St-Denis,35,0.038095499500000005,0.04136506456451613,1.4234761468050101,2.7197768351442964,0.024267499999999997,0.02655858470967742,1.3184017295843384,1.8730239694648994,0.056015499999999996,0.05716431054032258,0.4881669379269008,-0.08010850020924609,0.039149500500000003,0.04117178633870968,0.8231415506906284,0.10772497808853432,0.030696,0.036718701624999996,1.3708437408615641,0.8373861706047006,0.0226184995,0.030002225733870968,1.7373840187717742,1.6386180532089085,93134.441,93196.441,230.0,62.0,0.056015499999999996,0.039149500500000003,Median_30_300_r,Median_30_300_l,0.056015499999999996,0.023984500000000006,0.0408504995,0.023984500000000006
36,Palezieux - Chatel-St-Denis,36,0.0430385,0.04692963700342465,1.2416936415532631,1.9316957843418612,0.0278025,0.03028770032534247,1.174218642949107,1.1310823695990013,0.0734779995,0.07721430651027397,0.7364672455097612,0.4439994758579737,0.0563395,0.05855339554623288,0.7580658346487544,0.5324348604328666,0.042479,0.043019118152397263,0.9446763665106073,1.3362628831054462,0.0292505,0.035095409234589044,1.1823120009944625,0.397086714191655,93196.441,93342.441,217.0,146.0,0.0734779995,0.0563395,Median_30_300_r,Median_30_300_l,0.0734779995,0.0065220005,0.0236605,0.0065220005
37,Palezieux - Chatel-St-Denis,37,0.030752001,0.034462162089385476,0.9386190168959696,0.2038408443525186,0.020065,0.022427139648044693,1.8258630355032948,4.621887821004081,0.047716,0.049019770972067035,0.6142992997987119,-0.2010417761253107,0.039257,0.040480312782122906,0.1918536526577428,-0.6929008409989286,0.028077001,0.03099169275418994,1.3286291224406948,1.3835582191937394,0.034891,0.035257419011173186,0.4112768359974552,0.1767209154871483,93342.441,93387.191,0.0,44.75,0.047716,0.039257,Median_30_300_r,Median_30_300_l,0.047716,0.032284,0.040743,0.032284
38,Palezieux - Chatel-St-Denis,38,0.047890999000000004,0.050427455105263155,0.6126928959340764,0.0011995757771550153,0.0262445,0.026663221346749227,0.6165217703789099,0.41710276104803246,0.07951,0.0804785789489164,0.1863449192843159,-0.2714317572723295,0.063365,0.06340475851857584,0.18217581912414685,0.11339205040105549,0.0270229995,0.034853756982972134,2.057135186973023,3.642411089111776,0.039765999999999996,0.04194871981888545,1.926243966359255,4.781039933741189,93387.191,93548.691,197.0,161.5,0.07951,0.063365,Median_30_300_r,Median_30_300_l,0.07951,0.0004900000000000043,0.016634999999999997,0.0004900000000000043
39,Palezieux - Chatel-St-Denis,39,0.044882,0.04738669382653946,0.7445508759661961,0.33430178438733726,0.023089999,0.025704740679098004,1.7897317500745182,4.688144032386498,0.06563,0.06684786468343451,0.42398445758041065,-0.4109067679441032,0.046356999999999995,0.04901912054206418,0.36688700627401877,-0.7497935832126146,0.028299,0.03350452213790113,2.151160526964863,5.110455732798256,0.027305,0.030243331327840416,1.7518081923497786,4.92570048884914,93548.691,93912.191,0.0,363.5,0.06563,0.046356999999999995,Median_30_300_r,Median_30_300_l,0.06563,0.014370000000000008,0.033643000000000006,0.014370000000000008
40,Palezieux - Chatel-St-Denis,40,0.0423614995,0.04476690003333334,0.7760526959777981,0.2594689369616754,0.025474000499999996,0.02634192772222222,1.2768746256605268,2.6906422246955755,0.050314,0.05444195003888889,2.169376644574627,7.1026176342671015,0.036603000999999996,0.03785142776111111,1.3744123415549803,4.259877764012257,0.0223065,0.03313811671111111,1.7382888641220329,1.6158852679858606,0.030394499,0.04273573888888889,1.1689571685292557,0.07438023339495548,93912.191,93957.191,395.0,45.0,0.050314,0.036603000999999996,Median_30_300_r,Median_30_300_l,0.050314,0.029686000000000004,0.043396999000000006,0.029686000000000004
41,Palezieux - Chatel-St-Denis,41,0.0350255,0.03931189844162437,1.2643953533654453,1.7244072170716267,0.0301575005,0.033438332482233504,0.9171981478980187,0.3836470019894853,0.051700500499999996,0.06160867256598985,1.1812675123155696,0.6860039768066275,0.042182499,0.049498522868020305,1.1523730237470213,0.8359237792991911,0.031817,0.03538137816243655,1.4199512932076306,1.8338133632038263,0.033929,0.03770872841878172,0.9135683982074617,0.3071176533687896,93957.191,94055.691,0.0,98.5,0.051700500499999996,0.042182499,Median_30_300_r,Median_30_300_l,0.051700500499999996,0.028299499500000005,0.037817501,0.028299499500000005
