Linie,groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min
Chatel-St-Denis - Montbovon,270,0.0344400005,0.03922649396385542,1.8844145722748715,5.130686076702341,0.020168000000000002,0.02469134337951807,1.5878449109569865,2.4699628727334213,0.0579169995,0.06266718672289157,1.2854882581894744,2.290758178031828,0.04947,0.05129269881927711,0.8479147805290632,0.574733309291164,0.047282000000000005,0.05313818075301205,0.5618172002140087,-0.7432211073408519,0.0430665,0.050042963873493974,1.3021359564703285,0.49237824157509325,32826.42,32867.92,141.0,41.5,0.0579169995,0.04947,Median_30_300_r,Median_30_300_l,0.0579169995,0.022083000499999998,0.03053,0.022083000499999998
Chatel-St-Denis - Montbovon,271,0.035794999,0.039876771379396984,1.1728111055998394,1.808328127240335,0.019722999999999997,0.0217087903989899,2.3837112848036983,8.285719484709874,0.074943,0.07869213703299492,1.0078534743677523,1.583730310564028,0.0717794995,0.07213073681052631,0.4586678626846408,-0.28578859886921526,0.086928,0.09311035375335121,0.44840103934893966,-0.8926875042866382,0.082369,0.10312903806158358,0.5272531913381829,-1.1184501348682567,33057.42,33157.42,0.0,100.0,0.086928,0.082369,Median_300_1000_r,Median_300_1000_l,0.086928,-0.006928000000000004,-0.002368999999999996,-0.006928000000000004
Chatel-St-Denis - Montbovon,272,0.0413515,0.04518771394587629,1.4903846254528217,3.6826087065042685,0.0202445,0.021185420092783507,0.7446240101729474,0.6491756668238824,0.085217001,0.08642195362628867,0.558969089401044,0.9483485867899031,0.0631195,0.06488235566237113,0.49397857216995794,0.6552052425290777,0.0825825,0.08515159780927835,1.366172649732259,3.7341480587163147,0.0711535,0.06967025257474227,0.21891607404753616,-0.37810978103956083,33157.42,33254.42,270.0,97.0,0.085217001,0.0711535,Median_300_1000_r,Median_30_300_l,0.085217001,-0.005217000999999999,0.008846500000000007,-0.005217000999999999
Chatel-St-Denis - Montbovon,273,0.033643,0.03505495537579618,0.8600264366299465,1.1879655431930178,0.018323,0.019480101949044586,1.7679572888439252,3.830673407524845,0.08080199899999999,0.08089899996815286,-0.023126319083907942,-0.22793881056633802,0.068983,0.07186801275159235,0.9100603974029021,0.939863938604224,0.062983,0.0672718917834395,1.3374588443588122,1.1808913557879972,0.073605,0.09009142675159236,1.8452361008532854,2.357959451297811,33254.42,33293.67,0.0,39.25,0.08080199899999999,0.073605,Median_300_1000_r,Median_30_300_l,0.08080199899999999,-0.0008019989999999838,0.006394999999999998,-0.0008019989999999838
Chatel-St-Denis - Montbovon,274,0.037996,0.03865165635135136,0.6373308475869048,0.21408193916352936,0.020928,0.022647818505791506,3.1239890382632134,13.164206298938545,0.08691599900000001,0.08780321233204633,0.2534425151951411,-0.19041673182414742,0.07113900000000001,0.07157439764092664,0.6891972788604871,0.8575648369645799,0.057108,0.06980354451351352,1.3149173834848602,0.6947229799900314,0.077523,0.08987947096525097,2.142610387542392,4.155281519711138,33293.67,33358.42,351.0,64.75,0.08691599900000001,0.077523,Median_300_1000_r,Median_30_300_l,0.08691599900000001,-0.006915999000000006,0.002477000000000007,-0.006915999000000006
Chatel-St-Denis - Montbovon,275,0.032419,0.03497981051729323,1.0764763776922674,1.4560828927197278,0.018589,0.020684079454272863,1.658011038382722,3.5839769604296547,0.083722001,0.08559580332072618,0.6309163600763141,0.3621612562984806,0.069539,0.07001589354722638,0.24026996044994492,-0.3879993463413127,0.104521,0.10159440030911901,-0.36048864214425436,-0.29873265483225797,0.121237,0.11916817974512743,0.15256425382046357,0.4071038744170865,33358.42,33525.17,0.0,166.75,0.104521,0.121237,Median_300_1000_r,Median_300_1000_l,0.121237,-0.024521,-0.041236999999999996,-0.041236999999999996
Chatel-St-Denis - Montbovon,276,0.035276999,0.037766025062724015,1.7549987870489199,6.92520827485227,0.019048000000000002,0.020254297491039425,2.0650392001058395,10.608405059847646,0.07034,0.07426185838172043,1.732638108947091,4.693144541932645,0.0578780005,0.06250744619713262,2.3654232119897105,6.344814705858518,0.07261,0.08055718989247311,1.2016574025980804,1.2701038322303813,0.070233,0.07787366855017921,1.2897397752515742,1.410242140083219,33525.17,33664.67,500.0,139.5,0.07261,0.070233,Median_300_1000_r,Median_300_1000_l,0.07261,0.007390000000000008,0.009766999999999998,0.007390000000000008
Chatel-St-Denis - Montbovon,277,0.04169149999999999,0.04635188383838384,1.096656921393396,0.8687398871105656,0.0220375,0.025560585828282828,1.546151475572512,1.7323857638272413,0.075133,0.07363073232828282,0.13857918375488734,-0.38789452912606803,0.05477799999999999,0.054461994893939394,-0.15669610818665672,0.07588139919117243,0.063047,0.06892939398989899,1.2277788219236718,1.2438092882287268,0.076644,0.08118838904040403,1.2130483685598648,1.3872651314860756,33664.67,33714.17,0.0,49.5,0.075133,0.076644,Median_300_1000_r,Median_30_300_l,0.076644,0.004866999999999996,0.003355999999999998,0.003355999999999998
Chatel-St-Denis - Montbovon,278,0.0350330005,0.03691365062179487,0.88837316473141,0.89640175286267,0.019492000000000002,0.02059853528525641,0.9461941340522887,0.9873445735389756,0.068224,0.06987419228846155,0.46721603584516663,-0.26820406419009535,0.0532155,0.05684087819871795,1.4340987543203685,3.5001105663526806,0.059042,0.06594342320833334,0.623713054688628,-0.816074829872194,0.0748595,0.08455984615384615,1.634986972066176,2.5746464993593587,33714.17,33792.17,285.0,78.0,0.068224,0.0748595,Median_300_1000_r,Median_30_300_l,0.0748595,0.011775999999999995,0.005140500000000006,0.005140500000000006
Chatel-St-Denis - Montbovon,279,0.038478,0.040943225860369616,0.9304064333679393,0.994618701503263,0.023698999999999998,0.02682176795893224,1.284341124395692,1.4832409905582624,0.053389002,0.05585337985420945,0.7180831620395877,0.31576846952417936,0.044778001,0.04637198562628337,0.6458985087972527,0.3839912525812248,0.041512,0.048348020488706366,0.7806017425589482,-0.25527479678209897,0.050259,0.05442470226283367,0.7159747974916237,-0.27132051812409363,33792.17,33959.17,0.0,167.0,0.053389002,0.050259,Median_300_1000_r,Median_30_300_l,0.053389002,0.026610998000000004,0.029741000000000004,0.026610998000000004
Chatel-St-Denis - Montbovon,280,0.0557689995,0.05935024921061093,0.9590166634653343,1.7869906120133967,0.0255035,0.025787345655948556,0.4941139511468916,-0.28029796463344203,0.0799375,0.08484217043729904,0.94484422416381,1.044724095971259,0.056323,0.06340986659967845,3.1356258709228,10.80759236930556,0.0678845,0.07652682639871383,1.212019053330029,0.8377729948164285,0.0593845,0.06714701617202572,1.4175221599569647,1.8431838442523913,33959.17,34114.67,491.0,155.5,0.0799375,0.0593845,Median_300_1000_r,Median_30_300_l,0.0799375,6.2500000000007e-05,0.020615500000000002,6.2500000000007e-05
Chatel-St-Denis - Montbovon,281,0.034426,0.03950844238181818,1.914609772542968,5.976753855210919,0.019072,0.02137172729090909,3.935278479722395,19.947380944740544,0.054523999999999996,0.06900304227878788,2.1295097220186285,3.4343765926288023,0.048067,0.06260118177575758,2.554274953732785,6.400664792817617,0.073052,0.0800860729151515,0.8750241665716629,0.18304588999979154,0.080495,0.08401830909090909,0.09875802127823466,-1.2381285806279445,34114.67,34155.92,0.0,41.25,0.073052,0.080495,Median_300_1000_r,Median_300_1000_l,0.080495,0.006947999999999996,-0.0004949999999999954,-0.0004949999999999954
Chatel-St-Denis - Montbovon,282,0.047182,0.049469079989090906,0.9525198105247712,1.0891510704566842,0.027783001,0.030515578123636363,1.9002860869126095,4.6279843386920065,0.081357,0.08761263276,1.2217570860051,1.444600915169226,0.060115,0.0691160182109091,1.2313308852930052,1.298201262997507,0.063633,0.06140014908727273,-0.39661522597867827,-0.006734692052402291,0.038075,0.03840752362909091,0.3796411747089206,-0.08487612618162244,34299.17,34367.92,98.0,68.75,0.081357,0.060115,Median_30_300_r,Median_30_300_l,0.081357,-0.001356999999999997,0.019885,-0.001356999999999997
Chatel-St-Denis - Montbovon,283,0.035397999,0.04228259256481482,2.9740605478548554,10.66239189624161,0.0203979995,0.021427314777777776,1.1126707826648385,1.5029486240372707,0.057770001,0.0705633888888889,1.5928040149681042,3.4785829454903183,0.046475999999999996,0.05256981482407407,1.1524676799652407,1.1118506007748268,0.056079000000000004,0.05789162962962963,0.20774162247441547,-0.6437141763018555,0.044852,0.044044537046296295,-0.19506978926368457,-0.6887037329952626,34367.92,34394.92,0.0,27.0,0.057770001,0.046475999999999996,Median_30_300_r,Median_30_300_l,0.057770001,0.022229999,0.033524000000000005,0.022229999
Chatel-St-Denis - Montbovon,284,0.052932,0.06098447969158879,5.971506246802094,61.70159479107757,0.025805,0.02787857587306502,3.946100776621406,28.676873667811506,0.088214,0.09820752042271294,2.2755363778295083,8.504794574765443,0.06357199899999999,0.06817376793188853,2.805437782895559,12.262707096998662,0.046556,0.048509297023102305,0.4601497698968563,-0.7576468003578469,0.062757,0.06951529411455108,0.4084870538991547,-0.7772874094327986,34394.92,34475.67,98.0,80.75,0.088214,0.06357199899999999,Median_30_300_r,Median_30_300_l,0.088214,-0.008213999999999999,0.01642800100000001,-0.008213999999999999
Chatel-St-Denis - Montbovon,285,0.050609,0.05387510364143426,0.8340478390799875,0.643709395250434,0.023924,0.025742869875166,1.0657350803828258,1.2780420544577051,0.101600999,0.10451028552855246,0.7419148584894517,0.7205033899342048,0.09022,0.10413696815405046,1.5327645007666018,2.0999469655617045,0.05387,0.061208723810092965,1.579963590125485,2.4408218711530614,0.061593,0.06644794290571049,1.211107983580361,2.0203366423659563,34475.67,34663.92,0.0,188.25,0.101600999,0.09022,Median_30_300_r,Median_30_300_l,0.101600999,-0.021600998999999996,-0.010219999999999993,-0.021600998999999996
Chatel-St-Denis - Montbovon,286,0.043827001000000004,0.04664135863265306,0.9349095490055097,1.1715800822561535,0.02004,0.021768827976676387,1.4863725491092132,3.9864233556476485,0.071979,0.08009450434402332,1.219672912201094,1.8081399381544347,0.060003,0.07553197067638484,2.2244397157535696,4.7843724554086435,0.04607,0.05219853937317784,1.1878435729845147,0.9119329060237877,0.06274,0.066561679303207,0.6408558248139027,-0.36308821426454374,34663.92,34749.67,450.0,85.75,0.071979,0.06274,Median_300_1000_r,Median_30_300_l,0.071979,0.008021,0.017259999999999998,0.008021
Chatel-St-Denis - Montbovon,287,0.039689,0.04144216669565217,0.5015757435108145,-0.24964333652252924,0.025142,0.027538884086956525,1.11263837677162,1.6496132449476182,0.0970910005,0.09955479334420289,0.416902539520489,-0.4720919933332568,0.10728,0.1149041342826087,0.6696805235938641,-0.3723227406499565,0.07104650000000001,0.07618175710144927,1.0372215904462596,1.247360331067421,0.091191,0.09276564134057971,0.2954621920336135,-0.037002908430626924,34749.67,34818.67,0.0,69.0,0.0970910005,0.10728,Median_30_300_r,Median_30_300_l,0.10728,-0.017091000499999995,-0.02728,-0.02728
Chatel-St-Denis - Montbovon,288,0.0471705,0.04780344592792793,0.4319972286391656,-0.10819088011662892,0.0267505005,0.028054454968468468,1.0149944044317842,1.274715603713557,0.07135700049999999,0.0729639639864865,0.4115068712766246,-0.46938226677338735,0.0725015,0.08952835586036037,1.3195039867062126,1.2461495219600067,0.0611295,0.06224151801351351,0.25907413363373505,-0.33154988753508796,0.056005,0.0782254503153153,1.333760680575138,0.8485872002097699,34818.67,34874.17,505.0,55.5,0.07135700049999999,0.0725015,Median_30_300_r,Median_30_300_l,0.0725015,0.008642999500000012,0.007498500000000005,0.007498500000000005
Chatel-St-Denis - Montbovon,289,0.042472501499999996,0.045208015609375006,0.9821203179096922,1.5450375412611947,0.020844,0.025573187958224542,2.5847426230492356,9.959112717732403,0.096851,0.10509207554947918,0.7697750365156091,0.39706046954507057,0.0741495,0.08865555543915343,1.2562057262499882,0.9284668199131483,0.05296,0.05508521873958333,0.6040601687289351,-0.10219559968680425,0.052180000000000004,0.06308856047252748,0.6865653849170894,-0.5728069655320214,34874.17,34970.17,0.0,96.0,0.096851,0.0741495,Median_30_300_r,Median_30_300_l,0.096851,-0.016851000000000005,0.0058505000000000085,-0.016851000000000005
Chatel-St-Denis - Montbovon,290,0.041836,0.04534148651351352,1.335666387417916,2.3232240838982587,0.022982000500000002,0.024344054006756755,1.2805539787310345,2.283777630894079,0.06692300000000001,0.06875884458783783,0.4861007164474636,0.08745186983487407,0.046169,0.04826137837162162,0.7841057238348077,0.6601120442336077,0.054736999999999994,0.052317168932432434,-0.15037759101128564,-0.8109476671107276,0.047947000000000004,0.04924604054054054,1.233445934247774,1.8152569170435289,34970.17,35007.17,200.0,37.0,0.06692300000000001,0.047947000000000004,Median_300_1000_r,Median_30_300_l,0.06692300000000001,0.013076999999999991,0.032053,0.013076999999999991
Chatel-St-Denis - Montbovon,291,0.0385,0.042353105292397664,1.3422811714165275,1.975782520799239,0.023683999999999997,0.029587292315789476,10.759810141197942,124.75923051610556,0.058717,0.06788863173099415,2.4110717117814233,6.5779207224721095,0.044437999,0.05620945014035088,2.7466868861722094,8.337757638274521,0.04479,0.04537311113450292,0.3502533199919025,-0.20110008803458035,0.03841,0.040945637426900584,0.5320785219799923,-0.03801197863199768,35007.17,35049.92,0.0,42.75,0.058717,0.044437999,Median_30_300_r,Median_30_300_l,0.058717,0.021283000000000003,0.035562001,0.021283000000000003
Chatel-St-Denis - Montbovon,292,0.04112,0.044649287627450976,0.8543376008470932,0.1699834601630501,0.026886,0.028786516313725488,1.6518655447078474,5.212730027439848,0.074046,0.07859972560130718,0.9988801282611123,0.8995184152094828,0.062986999,0.06469779073856209,1.0518369494948983,1.746064409324477,0.049005,0.05009626145751634,-0.2536163265708643,-0.5639657802383113,0.026993001,0.02831129411764706,0.6913895983956247,-0.26828944890375217,35049.92,35088.17,95.0,38.25,0.074046,0.062986999,Median_30_300_r,Median_30_300_l,0.074046,0.005954000000000001,0.017013001,0.005954000000000001
