km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe,element_standard,frequence,reserve_usure_min,annee,km_a_meuler,longueur,bin
32.82642,32.86792,Acier (bêches courtes),UST 36,R 260,141.0,152,3134E111,0.14,0.0220830004999999,1.9716964732142765,0.0,0.041499999999999204,1
33.157419999999995,33.254419999999996,Acier (bêches courtes),UST 36,R 260,270.0,153,3134E111,0.14,-0.0052170009999999,-0.4658036607142767,0.09700000000000131,0.09700000000000131,-1
33.29367,33.358419999999995,Acier (bêches courtes),UST 36,R 260,351.0,154,3124E111,0.14,-0.006915999,-0.6174999107142857,0.06474999999999653,0.06474999999999653,-1
33.525169999999996,33.66467,Acier (bêches courtes),UST 36,R 260,500.0,155,3124E111,0.14,0.00739,0.6598214285714284,0.1395000000000053,0.1395000000000053,0
33.714169999999996,33.79217,Acier (bêches courtes),UST 36,R 260,285.0,156,3134E111,0.14,0.0051405,0.45897321428571425,0.07800000000000296,0.07800000000000296,0
33.95917,34.11467,Acier (bêches courtes),UST 36,R 260,491.0,157,3124E111,0.14,6.2500000000007e-05,0.005580357142857767,0.15549999999999642,0.15549999999999642,0
34.29917,34.36771,Acier (bêches courtes),UST 36,R 260,98.0,158,3144E111,0.14,-0.0044294999999999,-0.39549107142856244,0.06854000000000582,0.06854000000000582,-1
34.36771,34.47567,Acier (bêches courtes),UST 36,R 260,98.0,158,3144E111,0.14,-0.0044294999999999,-0.39549107142856244,0.1079599999999985,0.1079599999999985,-1
34.66392,34.749669999999995,Acier (bêches courtes),UST 36,R 260,450.0,159,3124E111,0.14,0.008021,0.7161607142857143,0.08574999999999733,0.08574999999999733,0
34.81867,34.87417,Acier (bêches courtes),UST 36,R 260,505.0,160,3124E111,0.14,0.0074985,0.6695089285714285,0.0555000000000021,0.0555000000000021,0
34.970169999999996,35.007169999999995,Acier (bêches courtes),UST 36,R 260,200.0,161,3134E111,0.14,0.0130769999999999,1.1675892857142767,0.0,0.036999999999999034,1
35.04992,35.08817,Acier (bêches courtes),UST 36,R 260,95.0,162,3144E111,0.14,0.005954,0.5316071428571428,0.0382499999999979,0.0382499999999979,0
35.08817,35.13017,Acier (bêches courtes),UST 36,R 260,236.0,163,3134E111,0.14,0.0420154995,3.7513838839285705,0.0,0.04200000000000159,3
35.13017,35.27442,Acier (bêches courtes),UST 36,R 260,130.0,164,3134E111,0.14,0.014099,1.2588392857142856,0.0,0.14424999999999955,1
35.30067,35.3647,Acier (bêches courtes),UST 36,R 260,120.0,165,3144E111,0.14,0.0174614995,1.5590624553571428,0.0,0.06403000000000247,1
35.3647,35.45867,Acier (bêches courtes),UST 36,R 260,120.0,165,3144E111,0.14,0.0174614995,1.5590624553571428,0.0,0.09396999999999878,1
35.49767,35.55339,Acier (bêches courtes),UST 36,R 260,128.0,166,3134E111,0.14,0.001545,0.13794642857142855,0.05572000000000088,0.05572000000000088,0
35.55339,35.553419999999996,Acier (bêches courtes),UST 36,R 260,128.0,166,3134E111,0.14,0.001545,0.13794642857142855,2.9999999995311555e-05,2.9999999995311555e-05,0
36.04242,36.13117,Acier (bêches courtes),UST 36,R 260,195.0,167,3134E111,0.14,0.03604,3.2178571428571425,0.0,0.08874999999999744,3
36.36267,36.426919999999996,Béton,Ri 60,R 260,117.0,168,3141E111,0.14,-0.0058809999999999,-0.5250892857142767,0.06424999999999415,0.06424999999999415,-1
36.550419999999995,36.57067,Béton,54 E2,R 350 HT,125.0,169,31311211,0.14,-0.0066435,-0.5931696428571428,0.02025000000000432,0.02025000000000432,-1
36.64799,36.65216,Béton,54 E2,R 350 HT,130.0,133,31311211,0.14,0.000674,0.06017857142857142,0.0041700000000020054,0.0041700000000020054,0
36.65216,36.65216,Béton,54 E2,R 350 HT,130.0,133,31311211,0.14,0.000674,0.06017857142857142,0.0,0.0,0
36.65216,36.70299,Béton,54 E2,R 350 HT,130.0,133,31311211,0.14,0.000674,0.06017857142857142,0.05082999999999771,0.05082999999999771,0
