km_start,km_end,typ_trav,typ_rail,qualite_acier
20.99953,21.59953,Acier (bêches courtes),46 E1,R 260
21.59953,23.60926,Acier (bêches courtes),UST 36,R 260
23.60926,23.60954,Bois,54 E2,
23.60954,23.68953,Béton,54 E2,
23.68953,23.69953,Béton,54 E2,
23.69953,23.77953,Béton,54 E2,
23.77953,23.80953,Béton,54 E2,
23.80953,24.02953,Béton,54 E2,
24.02953,24.04953,Béton,54 E2,
24.04953,24.17952,Béton,54 E2,
24.17952,25.1012,Béton,46 E1,R 350 HT
25.1012,25.3023,Béton,46 E1,R 350 HT
25.3023,25.62559,Béton,46 E1,R 350 HT
25.62559,25.73893,Béton,46 E1,R 350 HT
25.73893,26.00599,Béton,46 E1,
26.00599,26.56651,Béton,46 E1,R 350 HT
26.56651,26.57652,,46 E1,R 350 HT
26.57652,26.75672,Béton,46 E1,R 350 HT
26.75672,29.22113,Acier (bêches courtes),UST 36,R 260
29.22113,29.46107,Bois,UST 36,R 260
29.46107,30.10134,Acier (bêches courtes),UST 36,R 260
30.10134,30.13134,Béton,46 E1,
30.13134,30.8061,Béton,46 E1,
30.8061,31.28271,Acier (bêches courtes),UST 36,R 260
31.28271,31.43271,Acier (bêches courtes),UST 36,R 260
31.43271,31.49271,Bois,UST 36,R 260
31.49271,32.40432,Acier (bêches courtes),UST 36,R 260
32.40432,32.51432,Acier (bêches courtes),UST 36,R 260
32.51432,32.63432,Bois,46 E1,R 260
32.63432,33.12438,Acier (bêches courtes),UST 36,R 260
33.12438,34.36771,Acier (bêches courtes),UST 36,R 260
34.36771,35.3647,Acier (bêches courtes),UST 36,R 260
35.3647,35.55339,Acier (bêches courtes),UST 36,R 260
35.55339,36.3132,Acier (bêches courtes),UST 36,R 260
36.3132,36.55028,Béton,Ri 60,R 260
36.55028,36.61255,Béton,54 E2,R 350 HT
36.61255,36.64238,Béton,54 E2,R 350 HT
36.64238,36.65216,Béton,54 E2,R 350 HT
36.65216,36.65216,Béton,54 E2,R 350 HT
36.65216,36.71061,Béton,54 E2,R 350 HT
36.71061,36.73016,Béton,54 E2,R 350 HT
36.73016,36.74952,Béton,54 E2,R 350 HT
36.74952,36.91106,Béton,54 E2,R 350 HT
36.91106,36.91106,Béton,54 E2,R 350 HT
90.06894,90.26894,Acier (bêches longues),46 E1,R 350 HT
90.26894,90.28894,Bois,46 E1,R 260
90.28894,90.33894,Bois,46 E1,R 260
90.33894,92.91942,Acier (bêches longues),46 E1,R 260
92.91942,93.26063,Acier (bêches longues),46 E1,R 350 HT
93.26063,93.78202,Acier (bêches longues),46 E1,R 260
93.78202,93.79202,Bois,46 E1,R 260
93.79202,93.91207,Acier (bêches longues),46 E1,R 260
93.91207,94.44444,Acier (bêches longues),46 E1,R 350 HT
94.44444,94.75202,Acier (bêches longues),46 E1,R 260
94.75202,94.77202,Bois,46 E1,R 260
94.77202,95.42738,Acier (bêches longues),46 E1,R 350 HT
95.42738,95.51335,Acier (bêches longues),46 E1,R 260
95.51335,95.52335,Bois,46 E1,R 260
95.52335,95.73335,Acier (bêches longues),46 E1,R 260
95.73335,95.74335,Bois,46 E1,R 260
95.74335,96.04335,Acier (bêches longues),46 E1,R 260
96.04335,96.32335,Béton,54 E2,R 350 HT
96.32335,96.44335,Béton,54 E2,R 350 HT
