ligne;km_db;sect_db;km_fin;sect_fin;longueur;etat;an_d_ref;an_p_ref;typ_voie;typ_rail;an_rail;typ_trav;an_trav;typ_att;typ_bala;d_supers;d_infras;d_geotex;d_draina;p_supers;p_infras;p_draina;remarques;qualite_acier;dur_vie_rest;ac_rail;grave_pss;id;niv_av_acrail;niv_prebalast;niv_voie_ap_2bourr
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;300e0fd3-a36b-43e8-a0d1-5775de27ab55;0;0;0
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;4cd87f16-2909-4ced-a774-4cb400b84eae;0;0;0
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;b48d1f85-8a72-4b23-b9b6-2dc87625b274;0;0;0
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;24a82e2a-b963-403d-af1c-abab3208001a;0;0;0
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;4e649ee6-aacd-42cf-9388-c340a3a8071a;0;0;0
CM;0;Montbovon;0;Montbovon;15;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;13b6ab92-57f3-406e-a8eb-8591194644c9;0;0;0
CM;0;;0;;15;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;CFF Q1;;;;;;;;;R 260;%;;;ca4ff638-182f-41bc-babb-e1d308c94303;0;0;0
;0;;0;;16;0;0;0;;;0;;0;;;;;;;;;;;;;;;f31698e0-23a4-4471-b233-f507d4bc78a9;0;0;0
BR;7.655;PN Sâles;7.672;Entrée Sâles;17;1;2011;2044;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;73%;f;;7d7d51af-5b90-47bf-9da2-8310d7a7b3c3;0;0;0
BR;11.454;PN1 Rte Cantonale;11.471;Entrée Vuisternens-Dt-Romont;17;1;2011;2044;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;73%;f;;9663a159-4a59-41e7-9d68-0b3c4535ead0;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;627343a2-cdfd-4aa9-bb18-c3b15d5d80bf;0;0;0
CM;0;;0;;18;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;bf270e96-1c9c-44d5-a4e6-e32480451320;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;9475076d-1447-4e38-848d-67afa134ed65;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;a3471d71-a690-48c6-80a2-17dbf8f41916;0;0;0
CM;0;;0;;18;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;34b031f9-c516-41e1-990b-6751acd05631;0;0;0
CM;0;;0;;18;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;39eddf7f-aa3d-48b4-9ce4-bc07c1ef6bb6;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;6a88c1c5-e362-4ace-ae3f-82da91889cce;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;eb901d12-c528-48db-af6d-666c02a58ad9;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;dab396de-7b83-4421-928a-ce84206c381d;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;2bab0a73-888a-4e81-a1bc-17130c4b04e8;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;b38f6d63-85fb-4744-83ce-6a49af37b225;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;475636d8-39d8-4f31-8ab6-9c6499858ee4;0;0;0
CM;0;;0;;18;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;c59f8e32-00aa-4090-94fb-42a3403423e5;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;1b10f297-23e3-4953-b4d8-f1e9091f883f;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;1aaaad7a-fa00-4502-83f7-df373586a841;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;2f141992-6ffa-4cc9-bc04-53147c5bdea8;0;0;0
;0;;0;;18;0;0;0;;;0;;0;;;;;;;;;;;;;;;ce299c48-884d-441b-9a5a-8dab802522a3;0;0;0
PC;94.75;PN Vuarrat;94.768;PN Vuarrat;18;1;2014;2047;Soudée;CFF I;2014;Bois;2014;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;82%;f;;964a5763-8985-4fea-bd67-221c0a64a204;0;0;0
PC;0;;0;;18;2;2019;2052;Soudée;CFF I;2005;Bois;2005;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;97%;t;t;62d8403a-c78c-4785-a2d9-622966d41a6e;-710;-410;0
PC;0;;0;;18;2;2019;2052;Soudée;CFF I;2005;Bois;2005;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;97%;t;t;4092d6c4-6307-4f59-bf68-dadb70aa1a99;-710;-410;0
CM;0;;0;;19;1;2019;2052;Soudée;CFF I;2019;Bois;2019;;;;;;;;;;;;;;;42c98800-dddf-4dcb-b05d-897d1cae218b;0;0;0
;0;;0;;19;0;0;0;;;0;;0;;;;;;;;;;;;;;;7b1ff6c7-229c-4e8e-83a3-512c66739d9f;0;0;0
;0;;0;;20;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;24139fc2-0140-442a-95d3-6b91b13cb451;0;0;0
BR;0;;0;;20;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;t;t;f;t;f;f;f;;R 350 HT;;t;t;39aad1ac-33ad-4e44-b566-3628da2cfa8c;0;0;0
CM;0;Montbovon;0;Montbovon;20;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;0c976b4a-4c2d-4469-b3fc-a609a5b2c6bd;0;0;0
PC;0;;0;;20;2;2019;2052;Soudée;CFF I;2000;Bois;2000;Ke;CFF Q1;f;t;f;t;t;f;f;;R 260;97%;t;t;71163345-4eef-4fca-a67a-5fa5aefa615a;-710;-410;0
FMA;20.188;;20.194;;20;1;2017;2050;Soudée;CFF IV;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;91%;t;f;c2e03511-dbe3-4500-ae3b-48e418249b7e;0;0;0
FMA;20.066;PN La Pose;20.086;PN La Pose;20;1;2017;2050;Soudée;CFF I;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;91%;t;f;444f9d71-a58f-4e26-b8f5-e590eed08db4;0;0;0
FMA;20.622;PN Gare Münchenwiler;20.642;PN Gare Münchenwiler;20;1;2017;2050;Soudée;CFF I;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;6f9f668b-c6f8-4db6-8a98-77cc99070aa1;0;0;0
FMA;20.622;PN Gare Münchenwiler;20.642;PN Gare Münchenwiler;20;1;2017;2050;Soudée;CFF I;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;52388f2c-529f-48a9-b5e5-090df20bcc9c;0;0;0
;0;;0;;21;0;0;0;;;0;;0;;;;;;;;;;;;;;;5ebfea4d-4307-477a-a31a-b53011be8313;0;0;0
BR;0;;0;;21;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;8979556c-c9db-4023-ac99-febbaa014675;0;0;0
PC;0;;0;;21;2;2019;2052;Soudée;CFF I;2000;Bois;2000;Ke;CFF Q1;f;t;f;t;t;f;f;;R 260;97%;t;t;84f3dc2c-8ed2-431f-84db-453210bab54d;-710;-410;0
FMA;12.017;PN Ecole;12.038;Entrée Courtepin;21;1;2018;2051;Soudée;CFF IV;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;3359d109-6a4f-46ec-827c-9d5fd9347ff9;0;0;0
;0;;0;;21;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;1bbc1e4d-a043-4049-8ddb-2cc83d034b5e;0;0;0
;0;;0;;21;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;59ddb37f-ad0e-4203-82a2-754e8ea288c2;0;0;0
CM;10.698;Pont de la Gissetta;10.72;Pont de la Gissetta;22;1;2011;2044;Soudée;CFF I;2010;Bois;2010;K;CFF Q1;t;t;f;t;t;t;t;Etanchéité de l'auge refaite;R 260;73%;;;7cc80578-62d1-45d1-ab87-fbb221076f4f;0;0;0
;0;;0;;22;0;0;0;;;0;;0;;;;;;;;;;;;;;;df9d3dd4-e8ee-482c-9a8e-ca1a68041e12;0;0;0
;0;;0;;22;0;0;0;;;0;;0;;;;;;;;;;;;;;;e559faa4-0880-4c6a-9de4-60a27a959072;0;0;0
CM;16.449;PN Vuadens Rte cantonale;16.471;PN Vuadens Rte cantonale;22;1;2016;2049;Soudée;CFF I;2014;Bois;2016;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;f;f;f314cca7-2468-4923-84da-61eb3f130b23;0;0;0
FMA;0;G7;0;G7;23;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;fae21b22-8340-4501-b12b-d55236a4834f;0;0;0
FMA;27.887;Sortie gare Sugiez;27.912;Après PN Sugiez;23;1;2010;2043;Soudée;CFF IV;2010;Bois;2010;Ke;CFF Q1;t;t;f;f;t;f;f;Dalle en béton coulée sur place;R 260;70%;;;e43f0490-5326-4bd2-a3e7-a252bc5fcbc3;0;0;0
CM;0;;0;;24;1;2022;2055;Soudée;CFF I;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;904d73e5-a2b7-4f2c-9995-20097a085c3e;0;0;0
;0;;0;;24;0;0;0;;;0;;0;;;;;;;;;;;;;;;d64942e8-77a3-4bc6-b96e-47c07aa2315e;0;0;0
CM;0;Montbovon;0;Montbovon;25;1;2018;2051;Soudée;CFF IV;2018;;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;f;569209a2-1cee-49b5-90ea-3528c94de3ae;0;0;0
PC;91.47;La Goletta;91.495;La Goletta;25;1;2019;2052;Soudée;CFF I;0;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;f;t;f;f;;R 350 HT;97%;t;;99bee710-78a6-4ee0-ad59-fe003e7729f8;0;-410;0
FMA;24.869;PN de Montilier;24.894;PN de Montilier;25;2;2009;2042;Soudée;CFF IV;2009;Bois;2009;Ke;CFF Q1;t;t;f;f;t;t;t;;R 260;67%;f;f;1e986775-ba84-46ee-85f3-d46b09da1107;0;0;0
;0;;0;;25;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;0545e107-7049-408a-b9a8-8fc9aad726be;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;9be31279-8f16-4805-a5a3-f5046af8dcf2;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;45443af1-2c20-4e9c-a21a-ebb04daed332;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;5fa5cf14-5a29-4849-987f-4515c2947f66;0;0;0
CM;0;;0;;26;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;f96b2674-6d11-481f-9d36-e265d82b5ec1;0;0;0
CM;0;Montbovon;0;Montbovon;26;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;35f666ad-ba5b-40fa-99c7-c607612fd7df;0;0;0
;0;;0;;26;0;0;0;;;0;;0;;;;;;;;;;;;;;;a9042855-2a93-4392-bf9f-c16b213b555d;0;0;0
