ligne;km_db;sect_db;km_fin;sect_fin;longueur;etat;an_d_ref;an_p_ref;typ_voie;typ_rail;an_rail;typ_trav;an_trav;typ_att;typ_bala;d_supers;d_infras;d_geotex;d_draina;p_supers;p_infras;p_draina;remarques;qualite_acier;dur_vie_rest;ac_rail;grave_pss;id;niv_av_acrail;niv_prebalast;niv_voie_ap_2bourr
;0;;0;;65;0;0;0;;;0;;0;;;;;;;;;;;;;;;bf87e3f4-971e-42bb-9bdb-e07fb00c3f9a;0;0;0
CM;0;;0;;65;1;2019;2052;Soudée;CFF I;2019;;2019;;;f;f;f;f;f;f;f;;;;f;f;9028b428-3006-4ffe-8b2c-91026e2684b9;0;0;0
;0;;0;;66;0;0;0;;;0;;0;;;;;;;;;;;;;;;3720187e-fa8a-4cf1-9908-dca5442fa4f1;0;0;0
FMA;31.833;Entrée Anet;32.19;Anet;67;0;0;0;;;0;;0;;;f;f;f;f;f;f;f;Gare BLS;R 260;%;;;1c0048d9-fba2-4460-a08e-0879a7eed49b;0;0;0
BB;0;;0;;68;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;a816188f-89a1-4647-ad76-98a53130ce12;0;0;0
CM;0;;0;;68;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;71c74d13-8f8c-4ae8-bd13-903c2b7efcb3;0;0;0
FMA;24.8;Montilier / Bifurcation;24.869;Montilier / Avant PN;69;2;1996;2029;Soudée;CFF I;0;Acier (bêches courtes);0;Aek;CFF Q1;t;f;f;f;t;t;t;;R 260;27%;;;95ae2aaa-72da-4a94-9ab5-7027cde2249a;0;0;0
CM;7.7;Entrée La Verrerie / Gare;7.77;Sortie La Verrerie / Gare;70;3;1987;2020;Soudée;UST 36;1987;Acier (bêches courtes);1987;Ae;Grandjean - Enney;t;f;f;t;t;t;t;Branchement 1 et 2 (Talonnable) 2008;R 260;0%;f;;5502f8f9-b20f-4e4f-ac69-9fb168374794;0;0;0
;0;;0;;72;0;0;0;;;0;;0;;;;;;;;;;;;;;;64b043a1-855b-475e-9a15-41f9594c0e7d;0;0;0
CM;0;;0;;74;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;CFF Q1;;;;;;;;;R 260;%;;;2cca4a0d-eaba-4023-9978-8c6e0391526d;0;0;0
CM;0;;0;;74;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;67e508d7-fa4a-476c-8c6f-8612bd24b001;0;0;0
CM;0;;0;;74;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;;;;;;;;;;;;;497e77d7-fa92-4047-9fc4-76232533482d;0;0;0
CM;0;;0;;74;1;2019;2052;Soudée;CFF I;2019;;2019;;;f;f;f;f;f;f;f;;;;f;f;acd2e9f3-5e51-4acc-bb17-7ae8cb60b7ce;0;0;0
CM;0;;0;;74;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;;;;;;;;;;;;;;410b73d5-def2-43e8-bedd-8794cdf65d09;0;0;0
BR;1.8;Pont RN12;1.86;Pont RN12;75;1;2012;2045;Soudée;CFF IV;2012;Bois;2012;Aek;CFF Q1;t;f;f;t;t;f;f;;R 260;76%;;;732ee215-6603-45e2-9c1d-10becf2aa123;0;0;0
PC;0;;0;;82;1;2019;2052;Soudée;CFF I;2019;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;Voie 20;R 350 HT;97%;t;t;053baedf-c373-4906-b254-0a8034dfc442;-710;-410;0
CM;0;;0;;83;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;eea6d62e-ee18-4902-9e12-6e9becc66424;0;0;0
BR;0;;0;;83;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;b4290cc6-796e-44e9-98a3-c85a6d388367;0;0;0
BR;0;;0;;83;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;cb7a2f4f-caf8-46d6-9645-258d3dac33f5;0;0;0
BR;7.965;;8.05;;84;1;2011;2044;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;73%;;;de68f151-5668-4363-bf5a-aab13c3e3004;0;0;0
PC;95.426;Remaufens / Au Moulin;95.51;PN Au Moulin;84;1;2016;2049;Soudée;CFF I;2014;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;t;f;ac946f5e-a4b7-4412-b738-f11ec50c844e;0;0;0
FMA;27.385;Montilier - Sugiez;27.471;Entrée Sugiez;85;1;2004;2037;Soudée;CFF IV;2004;Bois;2004;K;CFF Q1;t;f;f;f;t;t;t;;R 260;52%;;;dc4684b8-c019-462d-8060-674bc599cce7;0;0;0
CM;0;Montbovon;0;Montbovon;86;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;4093b5cd-b8a4-40f6-8046-b420be0c5a04;0;0;0
FMA;20.642;PN Gare Münchenwiler;20.729;;87;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;7af635ce-631a-4351-9ac9-3d01b5eac81e;0;0;0
FMA;0;G7;0;G7;90;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;29c1dfb9-c31c-4894-a681-8ce03d945690;0;0;0
FMA;20.642;PN Gare Münchenwiler;20.729;;90;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;ee9455cf-0355-4fcd-8bdd-7e22607eb569;0;0;0
CM;0;Montbovon;0;Montbovon;91;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 3;R 350 HT;94%;t;;817edad2-7aa8-4b75-a344-88d3762eabfa;0;0;0
CM;0;;0;;93;1;2019;2052;Soudée;CFF I;2019;Béton;2019;;CFF Q1;;;;;;;;;R 260;%;;;ea7f2bf2-709d-4839-a33e-c60fc2ad4c20;0;0;0
CM;0;Montbovon;0;Montbovon;93;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 222;R 350 HT;94%;t;;aaad0092-1327-4ad8-85a0-e833a7308cdb;0;0;0
CM;0;;0;;97;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;a640f4eb-6aa8-4f46-afe3-2d120f6f1037;0;0;0
FMA;9.152;Sortie Pensier;9.25;;98;1;2016;2049;Soudée;CFF IV;2016;Acier (bêches longues);2016;Aek;CFF Q1;t;t;f;t;t;f;f;Pensier;R 260;88%;t;f;1d60e92d-c7db-4e2a-bd2c-a539db5f12b8;0;0;0
CM;0;;0;;99;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;08095d61-1ee6-4d1c-bdc0-668b667946a8;0;0;0
CM;6.15;Semsales / G;6.25;Sortie Semsales;100;3;2000;2019;Soudée;UST 36;2000;Acier (bêches courtes);2000;Ae;Grandjean - Enney;t;f;f;f;t;t;t;Voie 2;R 260;39%;f;f;ae567a33-d087-4a2d-8851-f07223425b8b;0;0;0
;0;;0;;102;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;14448cb4-d861-48a1-8f6d-1a8bddfe913b;0;0;0
FMA;20.086;PN La Pose;20.188;;103;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;91%;t;f;04550e0e-b83a-4924-aad5-dd4728bdec19;0;0;0
CM;0;;0;;107;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;310efc73-0d76-4de4-a68b-a405a4c2b761;0;0;0
CM;0;;0;;108;1;2020;2053;Soudée;CFF I;2020;Béton;2020;Ws;CFF Q1;t;t;f;f;t;f;f;;R 350 HT;;f;f;d4d959cb-22da-40f4-a328-de69d45d651a;0;-440;-20
CM;32.392;Albeuve;32.5;Pont de la Marivue;108;3;1974;2025;Soudée;UST 36;1974;Acier (bêches courtes);1974;Ae;Grandjean - Enney;t;f;f;f;t;t;t;Neutralisation 2011;R 260;-39%;;;26bc1d6f-6801-4945-857c-be2a535fc353;0;0;0
PC;0;;0;;110;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;97%;t;t;11505eb4-63ca-4ee7-8658-edbfd29a386c;-750;-450;-10
;0;;0;;112;0;0;0;;;0;;0;;;;;;;;;;;;;;;b1704999-d9b1-42cc-92bf-de86ccd52edb;0;0;0
;0;;0;;112;0;0;0;;;0;;0;;;;;;;;;;;;;;;34f26a84-97e2-4735-90d5-40f0f5f7fb97;0;0;0
;0;;0;;118;0;0;0;;;0;;0;;;;;;;;;;;;;;;0e410c39-22d6-4f37-859a-74c1afbd9423;0;0;0
BR;0;;0;;119;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;8af637ea-a7b7-4410-8008-77bb279ab95a;0;0;0
CM;32.5;Pont de la Marivue;32.62;Halte d'Albeuve;120;1;2007;2040;Soudée;CFF I;2007;Bois;2007;Aek;Grandjean - Enney;t;t;f;t;t;t;t;;R 260;61%;;;ad54d844-219b-484e-bdbd-ad82c5f88d24;0;0;0
PC;0;;0;;120;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 350 HT;97%;t;t;71fb9370-9b78-41d9-8321-b766e2c6fa4f;-750;-450;-10
PC;0;;0;;122;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 350 HT;97%;t;t;4ade9fa7-3d39-40e5-872e-773e913ee56a;-750;-450;-10
;0;;0;;123;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;abca5f14-3308-4c60-949f-712e5b01c6e7;0;0;0
PC;93.785;PN de Tatroz;93.91;;124;1;2016;2049;Soudée;CFF I;2014;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;t;f;58eb88d8-c9e8-4afd-8a67-eaa476496a86;0;0;0
CM;0;;0;;124;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;96f5628c-9c28-4ea8-84f3-9993e7ddae25;0;0;0
FMA;0;G7;0;G7;124;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;d6977348-30a6-4afc-99ee-b95ddf6d0a7a;0;0;0
FMA;0;G7;0;G7;125;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;14bf5a1d-9489-41af-8275-6510ec4eb48b;0;0;0
FMA;20.496;;20.622;PN Gare Münchenwiler;127;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;ff6fa238-dc47-4646-a1df-84e640cf47c1;0;0;0
CM;10.72;Pont de la Gissetta;10.849;;129;4;1977;2021;Soudée;UST 36;1977;Acier (bêches courtes);1977;Ae;Grandjean - Enney;t;f;f;f;t;t;t;;R 260;-30%;f;f;75750125-e7be-4bdd-83dc-c89296449848;0;0;0
FMA;20.496;;20.622;PN Gare Münchenwiler;130;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;a8de68a3-146d-4a2a-a666-17d6c4603fc4;0;0;0
;0;;0;;133;0;0;0;;;0;;0;;;;;;;;;;;;;;;f230f0aa-eb71-4981-b3a5-16abe7bfbb2e;0;0;0
;0;;0;;137;0;0;0;;;0;;0;;;;;;;;;;;;;;;8e4999b3-62ce-442a-b33f-849a775f7cdf;0;0;0
PC;0;;0;;137;1;2019;2052;Soudée;CFF I;2019;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;97%;t;t;a8934871-eef9-48f7-b5d6-260c7ac46e97;-710;-410;-10
FMA;12.635;;12.775;;140;2;2002;2035;Soudée;CFF IV;2002;Acier (bêches courtes);2002;Aek;CFF Q1;t;f;f;t;t;t;t;;R 260;45%;f;;886feadc-7383-4db5-a92f-d74e79258de1;0;0;0
FMA;0;;0;;140;1;2022;2055;Soudée;CFF IV;2022;Acier (bêches longues);2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;02b435cf-0f10-4027-bda0-48671fb8210f;0;0;0
FMA;0;G7;0;G7;143;1;2018;2051;Soudée;CFF IV;2018;;2018;;;t;t;f;t;t;f;f;Voie intérieur dépot;R 350 HT;94%;t;;695abf34-093c-4132-b41e-d944ac44dd93;0;0;0
FMA;0;G7;0;G7;143;1;2018;2051;Soudée;CFF IV;2018;;2018;;;t;t;f;t;t;f;f;Voie intérieur dépot;R 350 HT;94%;t;;06ed7585-1827-4b0a-b7a2-59fdca5afc80;0;0;0
FMA;0;G7;0;G7;143;1;2018;2051;Soudée;CFF IV;2018;;2018;;;t;t;f;t;t;f;f;Voie intérieur dépot;R 350 HT;94%;t;;c0701372-755b-4472-b107-4809a9b16b6f;0;0;0
FMA;0;G7;0;G7;143;1;2018;2051;Soudée;CFF IV;2018;;2018;;;t;t;f;t;t;f;f;Voie intérieur dépot;R 350 HT;94%;t;;814f4188-0bad-43f8-8de2-3d7765360622;0;0;0
FMA;5.426;Belfaux;5.57;Belfaux;146;1;2018;2051;Soudée;CFF I;2018;Acier (bêches longues);2018;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;d9a7539a-6133-4f29-b869-60411302eb12;0;0;0
CM;31.27;Entrée Neirivue;31.42;Sortie Neirivue;150;3;1983;2021;Soudée;UST 36;1983;Acier (bêches courtes);1983;Ae;Grandjean - Enney;t;t;f;f;t;t;t;;R 260;-12%;;;eb5ff1aa-71da-4a53-a6e2-b5784ec02ecb;0;0;0
BR;0;;0;;150;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;b6ba85ec-8f2c-4fdc-ac24-b605833792ad;0;0;0
FMA;19.915;;20.066;PN La Pose;150;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;91%;t;f;df770dd7-e790-42a5-bdd7-3016a5523fc5;0;0;0
;0;;0;;152;0;0;0;;;0;;0;;;;;;;;;;;;;;;fcd1cf1d-acf8-40bc-aac4-1c14e922a1f0;0;0;0
FMA;0;G7;0;G7;162;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;d83d33c4-b080-4270-b969-aaff85276954;0;0;0
CM;7;Praz Linliaz;7.165;Praz Linliaz;165;1;2011;2044;Soudée;CFF I;2010;Bois;2010;K;CFF Q1;t;f;f;f;t;t;t;Etanchéité de l'auge refaite;R 260;73%;f;f;d730ad0f-be00-4a65-8279-19531a19e50f;0;0;0
FMA;21.792;Courbe de Morat;21.957;Courbe de Morat;165;1;2017;2050;Soudée;CFF I;2017;Acier (bêches longues);2017;STi 14;CFF Q1;t;t;f;t;t;f;f;Courbe entrée de Morat (R=183);R 260;91%;t;f;a10b3385-cd3b-490f-a5fb-a312e7188509;0;0;0
;0;;0;;166;0;0;0;;;0;;0;;;;;;;;;;;;;;;0133126c-c5f4-4ae7-b804-f36f483d3cf7;0;0;0
Bull;0;;0;;167;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;3641493c-5a42-4175-8591-c1e471aadf86;0;0;0
FMA;9.25;Sortie Pensier;9.418;Sortie courbe gare Pensier;168;1;2015;2041;Soudée;CFF IV;2008;Acier (bêches longues);2008;Aek;CFF Q1;t;t;t;t;t;f;f;;R 260;85%;f;f;7af17b70-3331-41ac-acfb-ebd306ec3de1;0;0;0
CM;6.08;Entrée de Semsales;6.25;Semsales / G;170;3;1978;2019;Soudée;UST 36;1978;Acier (bêches courtes);1978;Ae;Grandjean - Enney;t;f;f;f;t;t;t;Voie 1;R 260;-27%;f;f;f189fe27-0907-4aaf-9ecb-88a2c3f4fc0a;0;0;0
CM;0;Montbovon;0;Montbovon;173;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 211;R 350 HT;94%;t;;62652bd9-80b2-4cf8-b414-802e2fbe8060;0;0;0
;0;;0;;179;0;0;0;;;0;;0;;;;;;;;;;;;;;;c37863d8-1db5-40f0-a218-0e6d87ffb161;0;0;0
CM;0;;0;;179;1;2020;2053;Soudée;CFF I;2020;Béton;2020;Ws;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;;t;t;19395cc0-3162-4a1b-b4ee-ab32ae9ab17d;-730;-440;-20
CM;0;;0;;180;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;a454967c-e0d8-44ab-9d3b-abd174291a18;0;0;0
FMA;21.611;;21.792;;181;1;2017;2050;Soudée;CFF IV;2017;Acier (bêches longues);2017;STi 14;CFF Q1;t;t;f;t;t;f;f;2 files de rail isolées;R 260;91%;t;f;e17b7f92-a574-4c5e-8792-311d1f6aa312;0;0;0
FMA;0;G7;0;G7;183;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;6797c78e-8f3f-4b2c-aaef-915e3d146ca1;0;0;0
FMA;0;G7;0;G7;184;1;2018;2051;Soudée;CFF IV;2018;Bois;2018;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;94%;t;;f7d09049-f828-4b57-8ec8-e34c72f4e64e;0;0;0
PC;0;;0;;185;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;f;t;f;f;Voie 1 sur pont;R 350 HT;97%;f;f;40b80589-4c4a-4c06-b37a-d43d9ece6a07;-750;-450;-10
CM;14.123;Entrée Vaulruz-Sud;14.31;Sortie Vaulruz-Sud;186;2;2012;2045;Soudée;UST 36;1978;Acier (bêches courtes);1991;Ae;Grandjean - Enney;t;t;t;t;t;t;t;Voie 2;R 260;76%;;;9fc5fce2-fb75-4fbc-8066-4ba8b2d6ef25;0;0;0
BR;4.87;Avant la courbe Entrée Vaulruz-Nord;5.056;Entrée Vaulruz-Nord;186;1;2014;2047;Soudée;CFF I;2014;Acier (bêches longues);2014;Aek;CFF Q1;t;f;t;t;t;t;f;;R 260;82%;;;b2b566ce-fa2d-400f-969a-89f83c7076f1;0;0;0
CM;14.123;Entrée Vaulruz-Sud;14.31;Sortie Vaulruz-Sud;187;2;2010;2043;Soudée;UST 36;1975;Acier (bêches courtes);1976;Ae;Grandjean - Enney;t;t;t;t;t;t;t;Voie 1;R 260;70%;f;f;d4b83d90-3210-4f34-9dd5-482c4541ac59;0;0;0
PC;0;;0;;188;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;f;t;f;f;Voie 2 sur pont;R 350 HT;97%;f;;8d86c5b5-7a90-4ffd-97ce-f2f05f2d3b79;-750;-450;-10
;0;;0;;189;0;0;0;;;0;;0;;;;;;;;;;;;;;;95985623-ea5b-4fc2-a79a-53b1e1389e9f;0;0;0
BR;0;;0;;189;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;d92195a1-2335-4053-a93b-6a1b7d874091;0;0;0
CM;35.35;Pont de L'Hongrin;35.54;Pont de L'Hongrin;190;3;1992;2030;Soudée;UST 36;1992;Acier (bêches courtes);1992;Ae;Grandjean - Enney;t;t;f;t;t;f;f;Traverses bois sur 50 m sur le pont;R 260;15%;f;f;44e8b8b0-c7bf-435f-a4bd-333afa8fc841;0;0;0
FMA;5.57;Descente de Belfaux;5.765;Entrée Gare Belfaux-Village;193;1;2015;2048;Soudée;CFF I;2015;Acier (bêches longues);2015;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;85%;t;f;74270008-da7c-4d79-ae02-6847923d91c6;0;0;0
FMA;0;G7;0;G7;194;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;168f28c2-4e0e-4f8e-9d11-b6d0f2da990d;0;0;0
FMA;6.213;Sortie Belaux-Village;6.408;PN Formangueires;195;1;2015;2048;Soudée;CFF IV;2015;Bois;2015;Ke;CFF Q1;t;t;f;t;t;f;f;;R 260;85%;t;f;c246b1e7-bcca-47ef-902d-2c335d9ac51b;0;0;0
;0;;0;;196;0;0;0;;;0;;0;;;;;;;;;;;;;;;d859b7f0-cee1-482e-9d3e-521b043b2695;0;0;0
BB;0;;0;;197;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;f9898e6c-6dab-458b-9b7e-6403a7392017;0;0;0
;0;;0;;198;0;0;0;;;0;;0;;;;;;;;;;;;;;;3743f811-c30f-41cf-b062-bba03a516281;0;0;0
PC;0;;0;;200;1;2019;2052;Soudée;CFF I;2019;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;97%;t;t;f350fae2-7bd4-421b-9912-830ec3cb8c73;-710;-410;-10
PC;0;;0;;200;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 350 HT;97%;t;t;322bf085-c1ec-417c-8cd1-b173bb8078df;-690;-450;-10
CM;0;;0;;204;1;2020;2053;Soudée;CFF I;2020;Béton;2020;Ws;CFF Q1;t;t;f;f;t;f;f;;R 350 HT;;f;f;66905a68-5138-4d95-9a37-e0d7e47a6347;0;-440;-20
PC;0;;0;;204;1;2019;2052;Soudée;CFF IV;2019;Béton;2019;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 350 HT;97%;t;t;80f2e622-dd42-4d65-8ec8-de9a101940a9;-690;-450;-10
PC;95.525;PN Au Moulin;95.73;PN Rouvena;205;1;2016;2049;Soudée;CFF I;2014;Acier (bêches longues);2014;Aek;CFF Q1;t;t;f;t;t;f;f;;R 260;88%;t;f;bd6413c0-875e-4aaf-9410-0db36e3ad719;0;0;0
CM;0;;0;;220;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;02dd8364-228c-4aff-a6cb-19f9cd785453;0;0;0
;0;;0;;223;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;ca6f60c7-6840-4e5d-8fcf-092be3c809c2;0;0;0
;0;;0;;225;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;420dbee2-324f-4a1f-865a-04b76b2ab150;0;0;0
;0;;0;;227;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;;;;;;;;;;;;;b811eff3-635f-4b12-8037-2409139e22d3;0;0;0
BB;0;;0;;231;1;2023;2056;Soudée;CFF IV;2023;Béton;2023;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;91c939e6-fa71-42dd-aaba-9a2e29905be2;0;0;0
FMA;0;G7;0;G7;235;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;;R 350 HT;91%;t;;aeb0924e-1c10-4b29-b099-ff0a613c0e46;0;0;0
BB;0;;0;;236;1;2023;2056;Soudée;CFF IV;2023;Béton;2023;;CFF Q1;f;f;f;f;f;f;f;;R 350 HT;;f;f;69080a24-9431-4d5e-9e4d-771033e02bfa;0;0;0
BR;0;;0;;236;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;473632f3-d544-4718-ba18-26e34b41eb5d;0;0;0
CM;29.216;Entrée Grandvillard;29.455;Sortie Grandvillard;239;2;1992;2023;Soudée;UST 36;1992;Bois;1992;Aek;Grandjean - Enney;t;t;f;t;t;t;t;;R 260;15%;;;d6ea30d3-99f8-404b-b849-9f58c1d44446;0;0;0
CM;36.3;Entrée village Montbovon;36.55;Entrée Gare Montbovon;242;1;2006;2040;Soudée;Ri 60;2006;Béton;2006;Ws;;t;t;f;t;t;f;f;Tronçon routier sans ballaste;R 260;58%;f;;52ebe21e-7188-47c8-a105-b27bbf795559;0;0;0
CM;0;Montbovon;0;Montbovon;246;1;2018;2051;Soudée;CFF IV;2018;Béton;2018;Ws;CFF Q1;t;t;f;t;t;f;f;Voie 3;R 350 HT;94%;t;;40a2fafb-a6a2-435e-8e35-d9a8d11db61a;0;0;0
BR;0;;0;;247;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;c6ae629e-2653-488e-b8f0-4244dcda5132;0;0;0
;0;;0;;262;1;2022;2055;Soudée;CFF IV;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;42e82df6-674f-4234-a1e1-62017fc79f4c;0;0;0
FMA;27.912;Sortie Sugiez après PN;28.174;Sortie de courbe Sugiez;264;1;2004;2037;Soudée;CFF IV;2004;Acier (bêches courtes);2004;Aek;CFF Q1;t;f;f;t;t;t;t;;R 260;52%;;;972b1c54-4357-45a1-9315-b078611f2a46;0;0;0
BR;0;;0;;265;1;2020;2053;Soudée;CFF IV;2019;Béton;2019;;CFF Q1;;;;;;;;;R 350 HT;;;;b1fbd5c2-0721-4182-83bf-7a6469c1e97f;0;0;0
CM;0;;0;;269;1;2022;2055;Soudée;CFF I;2022;Béton;2022;;CFF Q1;f;f;f;f;f;f;f;;;;f;f;16c250f3-6590-4d63-a87f-9cf3c97769ec;0;0;0
BR;5.056;Entrée Gare Vaulruz-Nord;5.327;Sortie Gare Vaulruz-Nord;271;1;2011;2044;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;73%;f;;9ea86676-28f0-46dd-9f1e-f6cf1a910b97;0;0;0
BR;5.056;Entrée Gare Vaulruz-Nord;5.327;Sortie Gare Vaulruz-Nord;272;1;2011;2044;Soudée;CFF IV;2011;Bois;2011;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;73%;f;;64df65bb-34d1-4cf1-ad65-0331643e5d6d;0;0;0
FMA;20.194;Entrée gare Münchenwiler;20.484;;276;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 1;R 260;91%;t;f;acfbcc4b-6edd-41e5-b216-07a04543ace2;0;0;0
FMA;20.194;Entrée gare Münchenwiler;20.484;;277;1;2017;2050;Soudée;CFF IV;2017;Bois;2017;Ke;CFF Q1;t;t;f;t;t;f;f;Voie 2;R 260;91%;t;f;61eb0f55-f26c-4454-9c7d-1657ec183aab;0;0;0
